HostName,TimeStamp,AM,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
bigdata-proj-m,0,AM,eth0,12.00,6.00,2.13,0.69,0.00,0.00,0.00,0.00
bigdata-proj-m,1,AM,eth0,9.00,6.00,1.37,0.51,0.00,0.00,0.00,0.00
bigdata-proj-m,2,AM,eth0,11.00,8.00,1.69,2.51,0.00,0.00,0.00,0.00
bigdata-proj-m,3,AM,eth0,7.00,4.00,1.43,0.45,0.00,0.00,0.00,0.00
bigdata-proj-m,4,AM,eth0,5.00,3.00,0.86,0.78,0.00,0.00,0.00,0.00
bigdata-proj-m,5,AM,eth0,30.00,26.00,3.96,269.22,0.00,0.00,0.00,0.00
bigdata-proj-m,6,AM,eth0,29.00,25.00,3.94,12.40,0.00,0.00,0.00,0.00
bigdata-proj-m,7,AM,eth0,8.00,6.00,1.53,0.64,0.00,0.00,0.00,0.00
bigdata-proj-m,8,AM,eth0,13.00,8.00,2.25,0.90,0.00,0.00,0.00,0.00
bigdata-proj-m,9,AM,eth0,36.00,23.00,6.41,2.31,0.00,0.00,0.00,0.00
bigdata-proj-m,10,AM,eth0,20.00,19.00,2.24,44.19,0.00,0.00,0.00,0.00
bigdata-proj-m,11,AM,eth0,47.00,51.00,12.12,58.63,0.00,0.00,0.00,0.00
bigdata-proj-m,12,AM,eth0,28.00,20.00,4.37,5.78,0.00,0.00,0.00,0.00
bigdata-proj-m,13,AM,eth0,102.00,101.00,19.45,52.36,0.00,0.00,0.00,0.00
bigdata-proj-m,14,AM,eth0,14.00,10.00,10.95,27.15,0.00,0.00,0.00,0.00
bigdata-proj-m,15,AM,eth0,64.00,67.00,74.53,75.73,0.00,0.00,0.00,0.00
bigdata-proj-m,16,AM,eth0,19.00,13.00,2.28,4.97,0.00,0.00,0.00,0.00
bigdata-proj-m,17,AM,eth0,61.00,63.00,13.87,93.63,0.00,0.00,0.00,0.00
bigdata-proj-m,18,AM,eth0,8.00,4.00,1.77,0.45,0.00,0.00,0.00,0.00
bigdata-proj-m,19,AM,eth0,5.00,3.00,1.14,0.29,0.00,0.00,0.00,0.00
bigdata-proj-m,20,AM,eth0,191.00,187.00,55.49,150.69,0.00,0.00,0.00,0.00
bigdata-proj-m,21,AM,eth0,218.00,214.00,50.33,174.39,0.00,0.00,0.00,0.00
bigdata-proj-m,22,AM,eth0,580.00,556.00,137.66,397.26,0.00,0.00,0.00,0.00
bigdata-proj-m,23,AM,eth0,509.00,496.00,141.76,437.61,0.00,0.00,0.00,0.00
bigdata-proj-m,24,AM,eth0,837.00,807.00,232.88,702.96,0.00,0.00,0.00,0.00
bigdata-proj-m,25,AM,eth0,1485.00,1448.00,1316.50,755.37,0.00,0.00,0.00,0.00
bigdata-proj-m,26,AM,eth0,992.00,952.00,281.51,809.99,0.00,0.00,0.00,0.00
bigdata-proj-m,27,AM,eth0,665.00,643.00,173.63,649.27,0.00,0.00,0.00,0.00
bigdata-proj-m,28,AM,eth0,959.00,922.00,273.35,816.49,0.00,0.00,0.00,0.00
bigdata-proj-m,29,AM,eth0,782.00,749.00,224.62,666.22,0.00,0.00,0.00,0.00
bigdata-proj-m,30,AM,eth0,1980.00,1935.00,386.92,903.82,0.00,0.00,0.00,0.00
bigdata-proj-m,31,AM,eth0,1006.00,967.00,288.01,862.53,0.00,0.00,0.00,0.00
bigdata-proj-m,32,AM,eth0,1015.00,988.00,289.49,975.00,0.00,0.00,0.00,0.00
